Unnamed: 0,timestamp,open_price,close_price,high_price,low_price
57,2020-01-02 00:00:00+00:00,7191.02,6948.175,7213.018231,6893.968995
58,2020-01-03 00:00:00+00:00,6948.175,7334.16,7415.445,6848.68
59,2020-01-04 00:00:00+00:00,7343.47,7348.17,7407.25,7242.677081
60,2020-01-05 00:00:00+00:00,7348.17,7351.525,7506.316176,7285.700426
61,2020-01-06 00:00:00+00:00,7359.835,7755.85,7811.33,7312.917917
62,2020-01-07 00:00:00+00:00,7762.4,8166.735,8219.055,7701.142272
63,2020-01-08 00:00:00+00:00,8159.54,8052.235,8484.537739,7843.988042
64,2020-01-09 00:00:00+00:00,8043.515,7819.19,8100.41,7737.465
65,2020-01-10 00:00:00+00:00,7809.725,8197.49,8220.65,7663.274428
66,2020-01-11 00:00:00+00:00,8205.61,8024.795,8294.04,7984.29
67,2020-01-12 00:00:00+00:00,8012.585,8177.515,8206.82,7940.325
68,2020-01-13 00:00:00+00:00,8185.725,8115.92,8205.325,8026.96
69,2020-01-14 00:00:00+00:00,8119.31,8839.13,8914.075,8058.863768000001
70,2020-01-15 00:00:00+00:00,8826.795,8808.24,8937.544173999999,8530.427922
71,2020-01-16 00:00:00+00:00,8817.285,8716.735,8862.900021,8513.458799
72,2020-01-17 00:00:00+00:00,8716.735,8905.005,9022.496627,8636.430309000001
73,2020-01-18 00:00:00+00:00,8906.6,8911.46,9002.545,8778.365194
74,2020-01-19 00:00:00+00:00,8901.915,8703.54,9208.77,8428.455845999999
75,2020-01-20 00:00:00+00:00,8712.18,8623.96,8749.04,8477.289697
76,2020-01-21 00:00:00+00:00,8632.895,8722.535,8789.755,8451.705
77,2020-01-22 00:00:00+00:00,8731.92,8661.545,9062.61,8460.535
78,2020-01-23 00:00:00+00:00,8661.545,8386.195,8692.655,8253.304797
79,2020-01-24 00:00:00+00:00,8376.745,8420.63,8531.4,8187.605347
80,2020-01-25 00:00:00+00:00,8429.515,8323.765,8450.73,8237.88
81,2020-01-26 00:00:00+00:00,8314.985,8589.87,8619.025,8274.54
82,2020-01-27 00:00:00+00:00,8588.265,8895.105,9076.585,8555.575
83,2020-01-28 00:00:00+00:00,8884.325,9403.01,9422.717521999999,8854.645152
84,2020-01-29 00:00:00+00:00,9395.835,9298.185,9443.84,9223.785116
85,2020-01-30 00:00:00+00:00,9288.595,9503.175,9599.663512000001,9124.2742
86,2020-01-31 00:00:00+00:00,9503.175,9332.49,9537.19,9178.550823
87,2020-02-01 00:00:00+00:00,9342.985,9364.73,9506.52,9259.875
88,2020-02-02 00:00:00+00:00,9364.73,9328.84,9496.84,9121.146509999999
89,2020-02-03 00:00:00+00:00,9318.595,9293.835,9631.075,9187.038497
90,2020-02-04 00:00:00+00:00,9283.045,9170.98,9377.415,9049.6364
91,2020-02-05 00:00:00+00:00,9182.375,9636.265,9797.197726,9141.590605
92,2020-02-06 00:00:00+00:00,9625.515,9766.435,9900.516239,9479.777424
93,2020-02-07 00:00:00+00:00,9766.435,9816.205,9891.31,9681.196653
94,2020-02-08 00:00:00+00:00,9804.715,9901.39,9972.828954999999,9627.252638
95,2020-02-09 00:00:00+00:00,9894.955,10162.25,10215.6,9871.29
96,2020-02-10 00:00:00+00:00,10160.245,9867.605,10240.908185,9700.056951
97,2020-02-11 00:00:00+00:00,9856.425,10280.55,10424.945,9683.532693000001
98,2020-02-12 00:00:00+00:00,10291.04,10360.385,10517.871240999999,10212.706576
99,2020-02-13 00:00:00+00:00,10349.385,10245.72,10573.55,10065.817772
100,2020-02-14 00:00:00+00:00,10248.22,10360.555,10430.570956,10088.755
101,2020-02-15 00:00:00+00:00,10373.0,9905.855,10423.616038,9756.031897
102,2020-02-16 00:00:00+00:00,9897.83,9930.315,10072.645783,9572.265128000001
103,2020-02-17 00:00:00+00:00,9921.65,9707.115,9983.645,9415.163123
104,2020-02-18 00:00:00+00:00,9705.375,10182.14,10295.152392,9560.953078
105,2020-02-19 00:00:00+00:00,10193.605,9598.7,10318.65,9271.78
106,2020-02-20 00:00:00+00:00,9588.975,9600.435,9732.11,9383.79
107,2020-02-21 00:00:00+00:00,9608.66,9695.54,9801.593086,9547.075
108,2020-02-22 00:00:00+00:00,9706.345,9670.88,9756.445,9531.928688
109,2020-02-23 00:00:00+00:00,9662.625,9979.17,10032.92,9587.75985
110,2020-02-24 00:00:00+00:00,9970.78,9658.08,10052.093606,9440.12753
111,2020-02-25 00:00:00+00:00,9646.855,9308.975,9700.85,9244.465848
112,2020-02-26 00:00:00+00:00,9316.97,8780.225,9385.718859,8577.148314
113,2020-02-27 00:00:00+00:00,8783.68,8812.725,9078.92,8471.535237
114,2020-02-28 00:00:00+00:00,8822.745,8709.54,8926.62,8397.86
115,2020-02-29 00:00:00+00:00,8700.25,8529.66,8816.91,8516.502931
116,2020-03-01 00:00:00+00:00,8525.615,8533.965,8766.275,8392.657545
117,2020-03-02 00:00:00+00:00,8524.71,8919.83,8973.155,8474.63
118,2020-03-03 00:00:00+00:00,8922.86,8762.445,8948.6,8640.86563
119,2020-03-04 00:00:00+00:00,8751.765,8762.155,8874.695,8650.235
120,2020-03-05 00:00:00+00:00,8762.155,9067.17,9189.455,8746.8
121,2020-03-06 00:00:00+00:00,9077.545,9155.48,9211.385226,8956.306045000001
122,2020-03-07 00:00:00+00:00,9163.275,8899.23,9222.275,8810.438441
123,2020-03-08 00:00:00+00:00,8908.69,8037.995,8915.89,7978.271406
124,2020-03-09 00:00:00+00:00,8030.49,7928.12,8199.565,7586.601114
