timestamp,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Open,High,Low,Close,Adj Close,Volume
2020-01-02,43,43,43,43,43,43,1.14,1.23,1.13,1.22,1.22,915700
2020-01-03,44,44,44,44,44,44,1.22,1.22,1.14,1.18,1.18,467200
2020-01-06,45,45,45,45,45,45,1.23,1.3,1.2,1.3,1.3,981200
2020-01-07,46,46,46,46,46,46,1.39,1.5,1.33,1.49,1.49,3313600
2020-01-08,47,47,47,47,47,47,1.54,1.54,1.29,1.37,1.37,1792300
2020-01-09,48,48,48,48,48,48,1.37,1.41,1.29,1.33,1.33,791100
2020-01-10,49,49,49,49,49,49,1.33,1.45,1.29,1.41,1.41,1358500
2020-01-13,50,50,50,50,50,50,1.45,1.45,1.31,1.36,1.36,634900
2020-01-14,51,51,51,51,51,51,1.44,1.51,1.408,1.42,1.42,1683000
2020-01-15,52,52,52,52,52,52,1.5,1.5,1.39,1.4,1.4,1247300
2020-01-16,53,53,53,53,53,53,1.4,1.45,1.36,1.43,1.43,670600
2020-01-17,54,54,54,54,54,54,1.45,1.49,1.43,1.46,1.46,1102400
2020-01-21,55,55,55,55,55,55,1.49,1.49,1.33,1.4,1.4,1020500
2020-01-22,56,56,56,56,56,56,1.43,1.43,1.31,1.34,1.34,865200
2020-01-23,57,57,57,57,57,57,1.33,1.334,1.25,1.26,1.26,737500
2020-01-24,58,58,58,58,58,58,1.3,1.32,1.25,1.26,1.26,468000
2020-01-27,59,59,59,59,59,59,1.26,1.28,1.2,1.24,1.24,891300
2020-01-28,60,60,60,60,60,60,1.28,1.32,1.265,1.31,1.31,679800
2020-01-29,61,61,61,61,61,61,1.33,1.35,1.28,1.31,1.31,634000
2020-01-30,62,62,62,62,62,62,1.58,1.63,1.34,1.43,1.43,7720600
2020-01-31,63,63,63,63,63,63,1.45,1.45,1.35,1.35,1.35,1400000
2020-02-03,64,64,64,64,64,64,1.36,1.42,1.33,1.36,1.36,916000
2020-02-04,65,65,65,65,65,65,1.36,1.39,1.32,1.38,1.38,862600
2020-02-05,66,66,66,66,66,66,1.4,1.51,1.4,1.48,1.48,2968900
2020-02-06,67,67,67,67,67,67,1.53,1.55,1.42,1.43,1.43,1962100
2020-02-07,68,68,68,68,68,68,1.46,1.46,1.39,1.43,1.43,1198700
2020-02-10,69,69,69,69,69,69,1.48,1.51,1.39,1.48,1.48,1425700
2020-02-11,70,70,70,70,70,70,1.5,1.76,1.49,1.68,1.68,7345800
2020-02-12,71,71,71,71,71,71,1.79,1.86,1.58,1.6,1.6,6460000
2020-02-13,72,72,72,72,72,72,1.6,1.63,1.51,1.61,1.61,1839500
2020-02-14,73,73,73,73,73,73,1.61,1.67,1.56,1.64,1.64,1579100
2020-02-18,74,74,74,74,74,74,1.55,1.56,1.4,1.5,1.5,2365200
2020-02-19,75,75,75,75,75,75,1.55,1.55,1.42,1.5,1.5,1148800
2020-02-20,76,76,76,76,76,76,1.42,1.455,1.37,1.42,1.42,1890000
2020-02-21,77,77,77,77,77,77,1.43,1.44,1.37,1.41,1.41,906800
2020-02-24,78,78,78,78,78,78,1.3,1.37,1.29,1.33,1.33,1274200
2020-02-25,79,79,79,79,79,79,1.35,1.35,1.23,1.26,1.26,1376300
2020-02-26,80,80,80,80,80,80,1.24,1.25,1.18,1.245,1.245,1419700
2020-02-27,81,81,81,81,81,81,1.2,1.28,1.129,1.23,1.23,1555900
2020-02-28,82,82,82,82,82,82,1.15,1.19,1.12,1.14,1.14,1237100
2020-03-02,83,83,83,83,83,83,1.16,1.21,1.13,1.18,1.18,810600
2020-03-03,84,84,84,84,84,84,1.18,1.19,1.12,1.14,1.14,751300
2020-03-04,85,85,85,85,85,85,1.16,1.17,1.13,1.165,1.165,530700
2020-03-05,86,86,86,86,86,86,1.25,1.33,1.22,1.28,1.28,2785100
2020-03-06,87,87,87,87,87,87,1.29,1.34,1.16,1.27,1.27,1437700
2020-03-09,88,88,88,88,88,88,1.08,1.12,1.02,1.08,1.08,1378500
2020-03-10,89,89,89,89,89,89,1.13,1.14,1.04,1.07,1.07,776300
2020-03-11,90,90,90,90,90,90,1.04,1.08,0.99,1.01,1.01,1065500
2020-03-12,91,91,91,91,91,91,0.75,0.777,0.53,0.728,0.728,1826700
2020-03-13,92,92,92,92,92,92,0.78,0.8,0.65,0.72,0.72,1138300
2020-03-16,93,93,93,93,93,93,0.61,0.7,0.6,0.6579999999999999,0.6579999999999999,936800
2020-03-17,94,94,94,94,94,94,0.7,0.8,0.631,0.748,0.748,674700
2020-03-18,95,95,95,95,95,95,0.74,0.74,0.511,0.65,0.65,1454800
