,timestamp,Open,High,Low,Close,Adj Close,Volume
0,2019-10-30,32.93,33.34,32.029999,33.130001,33.130001,78228800
1,2019-10-31,32.98,34.34,32.82,33.93,33.93,67881600
2,2019-11-01,34.369999,35.0,34.099998,34.889998999999996,34.889998999999996,64238600
3,2019-11-04,35.189999,36.450001,34.759997999999996,36.290001000000004,36.290001000000004,83343800
4,2019-11-05,36.560001,37.18,35.98,36.150002,36.150002,84848600
5,2019-11-06,36.060001,36.48,35.52,35.93,35.93,51675100
6,2019-11-07,36.52,36.990002000000004,36.029999,36.279999,36.279999,54350200
7,2019-11-08,36.060001,36.580002,36.0,36.290001000000004,36.290001000000004,39353900
8,2019-11-11,35.959998999999996,36.66,35.580002,36.310001,36.310001,43511100
9,2019-11-12,36.43,37.130001,36.400002,36.709998999999996,36.709998999999996,58664500
10,2019-11-13,36.650002,37.959998999999996,36.580002,37.52,37.52,67648300
11,2019-11-14,37.509997999999996,38.5,37.360001000000004,38.349998,38.349998,65829500
12,2019-11-15,38.939999,39.369999,38.34,38.560001,38.560001,62958500
13,2019-11-18,38.650002,39.990002000000004,38.599998,39.880001,39.880001,66102800
14,2019-11-19,40.139998999999996,41.790001000000004,39.689999,41.290001000000004,41.290001000000004,94373000
15,2019-11-20,40.959998999999996,41.75,40.07,40.98,40.98,79767900
16,2019-11-21,40.419998,40.709998999999996,38.639998999999996,39.52,39.52,88069400
17,2019-11-22,39.360001000000004,39.889998999999996,38.189999,39.150002,39.150002,56931900
18,2019-11-25,39.5,40.169998,39.490002000000004,39.790001000000004,39.790001000000004,45769500
19,2019-11-26,39.299999,39.48,38.810001,38.990002000000004,38.990002000000004,43603300
20,2019-11-27,39.459998999999996,39.759997999999996,39.07,39.41,39.41,33630100
21,2019-11-29,39.099998,39.52,39.02,39.150002,39.150002,17609900
22,2019-12-02,39.32,39.41,38.439999,38.73,38.73,35710200
23,2019-12-03,37.34,38.93,37.150002,38.900002,38.900002,51556400
24,2019-12-04,39.380001,39.82,39.130001,39.689999,39.689999,44299400
25,2019-12-05,39.950001,40.220001,39.549999,39.619999,39.619999,35574000
26,2019-12-06,40.099998,40.189999,39.560001,39.630001,39.630001,31101400
27,2019-12-09,39.459998999999996,39.84,38.91,38.93,38.93,27928100
28,2019-12-10,39.200001,39.73,38.82,39.439999,39.439999,33733600
29,2019-12-11,39.439999,39.610001000000004,39.040001000000004,39.470001,39.470001,31698300
30,2019-12-12,39.400002,42.619999,39.25,42.59,42.59,86878000
31,2019-12-13,42.349998,42.950001,41.060001,41.150002,41.150002,79927800
32,2019-12-16,41.73,42.98,41.73,42.349998,42.349998,58824900
33,2019-12-17,42.509997999999996,43.110001000000004,42.150002,42.77,42.77,44852000
34,2019-12-18,42.790001000000004,43.060001,42.240002000000004,42.299999,42.299999,39083300
35,2019-12-19,42.630001,43.34,42.599998,42.830002,42.830002,45883000
