GPRO,CCL,TSLA,DAL,DIS,AAL,MSFT,AAPL,GE,F
2.955,11.92,725.0,22.41,101.1705,10.3,174.54,282.95,6.265,4.87
3.24,12.97,798.92,22.16,106.03,10.03,174.03,283.25,6.42,5.17
3.295,14.45,769.11,24.335,106.24,11.26,169.79,278.57,6.7999,5.39
3.555,16.685,799.84,27.315,112.31,12.6,177.3,287.83,6.58,5.25
3.52,15.89,781.06,25.93,108.05,12.01,179.22,293.99,6.81,5.09
3.29,13.9299,701.31,24.13,105.5,10.64,174.5,289.07,6.51,4.9264
3.25,14.33,761.21,22.597,103.26,9.81,178.84,293.17,6.215,4.865
3.215,13.09,768.06,21.71,101.22,9.505,180.76,297.78,6.2,4.96
3.24,12.8283,782.45,21.01,100.9332,9.27,182.49,300.5,5.99,4.86
3.36,13.52,780.215,21.67,105.57,9.52,183.6078,303.75,6.1074,4.87
3.44,14.2,819.25,22.71,109.16,10.135,184.68,310.1484,6.29,5.23
3.355,13.84,810.48,22.02,107.74,10.06,186.65,315.005,6.1863,5.115
3.4,13.19,809.21,21.035,104.54,9.61,182.38,311.51,6.0074,4.99
3.54,12.26,790.62,19.425,102.86,9.0919,179.78,307.68,5.7956,4.72
3.5,12.2683,803.04,19.38,105.91,9.15,180.61,309.7,5.698,4.9
3.8189,12.77,799.034,19.1884,109.04,9.05,183.39,307.74,5.493,4.91
3.91,14.72,813.51,21.85,116.85,9.88,184.9,314.89,6.25,5.3035
4.02,14.12,808.0,21.755,114.365,9.64,183.5,313.01,6.2026,5.29
4.13,14.15,815.46,22.71,119.91,9.87,185.66,319.16,6.4152,5.48
4.19,14.6,827.75,23.15,117.7801,9.875,183.49,317.04,6.48,5.625
4.15,14.455,816.4,22.68,118.0,9.72,183.51,318.89,6.4012,5.645
4.35,16.28,818.74,25.64,120.95,11.14,181.56,316.84,6.81,5.845
4.84,17.24,819.955,26.32,121.53,11.98,181.81,318.08,7.29,6.03
4.53,15.93,805.975,25.65,116.74,10.97,181.27,318.15,6.78,5.845
4.7,15.75,834.1905,25.13,117.26,10.51,183.96,318.76,6.57,5.705
4.74,16.79,897.875,26.17,118.79,11.1087,182.86,321.76,6.76,5.87
4.735,16.87,881.4,26.41,118.75,11.2,185.0,323.42,7.05,5.9
4.76,17.25,882.51,28.47,122.16,11.8481,185.36,325.09,7.36,6.19
4.7,18.48,864.27,32.3898,123.69,16.74,182.95,322.25,7.74,6.57
4.85,21.5,885.335,34.1683,124.83,18.59,187.5,331.54,7.87,7.345
5.19,24.9199,948.45,36.99,127.25,20.305,188.47,333.4402,8.46,7.52
5.06,23.0361,941.5524,34.18,124.07,18.52,190.07,344.32,8.02,7.26
4.95,20.58,1024.974,31.67,122.25,17.02,196.82,352.78,7.61,6.815
4.265,17.44,972.41,27.222,112.76,14.38,186.47,336.08,6.9467,6.135
4.385,19.1002,936.25,29.3317,113.33,16.19,188.14,337.655,7.1875,6.4
4.49,19.43,990.75,30.46,117.12,16.72,189.09,342.99,7.23,6.51
4.59,20.428,981.51,31.33,118.48,17.04,193.67,352.26,7.475,6.55
4.62,19.09,990.56,30.72,117.62,16.98,194.2,351.2438,7.235,6.33
4.55,18.85,1004.02,30.81,118.37,16.49,196.32,351.59,7.28,6.325
4.52,17.84,1000.57,29.52,114.49,16.0,195.03,349.55,7.15,6.245
4.7,17.26,994.54,29.31,115.91,14.915,200.58,358.93,7.04,6.28
4.83,18.04,1001.66,29.64,116.57,13.99,201.889,366.37,7.0101,6.16
4.65,15.9983,960.85,27.35,112.06,13.0101,197.84,360.06,6.53,5.95
4.76,16.0,985.98,28.01,111.34,13.14,200.36,364.88,6.67,6.03
4.55,15.83,960.76,26.94,109.1,12.36,196.33,353.69,6.48,5.91
4.7,16.78,1009.89,28.6,111.52,13.32,198.5,362.0,6.8,6.02
4.76,16.4,1079.0,28.04,111.46,13.05,203.5,364.6,6.82,6.09
4.65,16.36,1119.54,27.7,113.02,12.8,204.66,364.01,6.73,5.97
4.8,15.88,1208.8,27.72,112.24,12.495,206.21,364.12,6.82,6.04
4.95,15.61,1371.0,28.45,114.42,12.8,210.69,373.81,7.0,6.19
