U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
261059.13043478262,4534.217391304348,138362.26086956522,16639.17391304348,203940.5652173913,11779.826086956522,267631.652173913,230565.39130434784,309363.47826086957,331727.26086956525
261357.20833333334,4583.541666666667,138228.75,16724.375,204202.375,11721.458333333334,268537.0,231467.875,310662.375,332251.25
261878.78260869565,4642.782608695652,137525.69565217392,16806.18181818182,204208.81818181818,11783.545454545454,269248.652173913,232647.34782608695,311152.26086956525,332690.9090909091
261882.0,4642.0,137519.0,16807.0,204205.0,11784.0,269232.0,232636.0,311148.0,332687.0
262853.7272727273,4714.681818181818,137197.4090909091,16892.272727272728,204228.68181818182,11918.272727272728,269649.5909090909,232768.5909090909,311479.7727272727,333067.63636363635
264320.0869565217,4934.652173913043,137095.52173913043,17106.043478260868,204691.8260869565,12184.521739130434,271304.73913043475,234556.95652173914,312604.0,334019.47826086957
265504.6666666667,5151.916666666667,138483.625,17228.833333333332,205603.54166666666,12162.125,274129.5833333333,237481.0,316232.4166666667,335632.375
267289.875,5308.125,138875.45833333334,17332.291666666668,206318.45833333334,12113.5,276313.25,236621.29166666666,319139.9583333333,338196.1666666667
268113.6666666667,5514.666666666667,140647.875,17399.875,206930.04166666666,12070.791666666666,276706.9583333333,236856.25,318711.25,339245.7916666667
268702.25,5665.166666666667,141169.5,17517.583333333332,207511.16666666666,12137.0,277540.25,238686.75,318379.25,339698.9583333333
