BTC,DOGE,ETH,LTC,XRP,users
9783.78,0.002556,244.23,45.915,0.2014,10486486
9894.32,0.002576,248.08,46.685,0.2029,10527027
9263.705,0.002445,230.04,43.255,0.1881,10567567
9468.37,0.002513,237.59,44.76,0.1931,10608108
9472.245,0.002522,238.085,45.095,0.1924,10648648
9336.975,0.002494,231.635,44.035,0.1901,10689189
9416.895,0.002474,230.825,43.74,0.1925,10729729
9525.0,0.002471,235.295,43.825,0.1924,10770270
9460.355,0.002472,233.64,44.02,0.1931,10810810
9379.8,0.002452,231.03,43.39,0.1897,10851351
9302.56,0.00244,228.715,42.845,0.1871,10891891
9357.18,0.0024460000000000003,228.85,43.58,0.1879,10932432
9289.04,0.002442,227.92,42.97,0.1858,10972972
9703.555,0.002472,243.285,44.335,0.1895,11013513
9638.95,0.00247,242.995,44.145,0.1888,11054054
9285.96,0.002419,234.29,42.565,0.1834,11094594
9246.545,0.002408,232.355,42.3,0.1814,11135135
9160.685,0.002353,229.545,43.11,0.1824,11175675
9011.58,0.002299,220.9,41.045,0.1751,11216216
9117.85,0.002321,224.955,41.335,0.1769,11256756
9188.355,0.002311,227.935,41.895,0.1772,11297297
9138.315,0.002315,225.6,41.16,0.1752,11337837
9236.12,0.002326,231.115,41.785,0.1765,11378378
9093.65,0.002325,226.545,41.06,0.1749,11418918
9064.65,0.002318,225.0,41.165,0.1764,11459459
9145.485,0.002309,229.42,42.115,0.1781,11500000
9076.315,0.002307,227.705,41.58,0.1773,11540540
9349.935,0.00263,241.88,44.09,0.1889,11581081
9260.705,0.003145,239.49,43.42,0.1852,11621621
9440.96,0.00479,247.245,45.35,0.2055,11662162
9242.795,0.004301,242.075,44.35,0.2026,11702702
9296.905,0.003505,240.925,44.315,0.1989,11743243
9242.825,0.003807,239.335,44.695,0.2012,11783783
9299.835,0.003637,243.03,44.74,0.2012,11824324
9241.985,0.0031550000000000003,239.5,43.865,0.1986,11864864
9255.195,0.0032890000000000003,240.28,43.86,0.19899999999999998,11905405
9197.91,0.003072,238.49,43.29,0.1971,11945945
9128.445,0.002978,233.55,42.075,0.1943,11986486
9159.115,0.00306,232.79,41.895,0.1945,12027027
9178.81,0.003457,235.785,42.485,0.1998,12067567
9213.835,0.003393,238.675,42.565,0.1996,12108108
