U_ABB,U_TSLA,U_AMD,U_RIOT
2149.0,120106.16666666667,168839.33333333334,15627.0
2145.9583333333335,120386.58333333333,169453.29166666666,15628.541666666666
2141.6666666666665,121590.91666666667,171703.45833333334,15634.208333333334
2147.0,122393.66666666667,172670.13043478262,15630.0
2147.0,122392.0,172667.0,15630.0
2147.0,122391.0,172656.33333333334,15630.333333333334
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2177.8823529411766,133359.23529411765,181685.70588235295,15806.529411764706
2174.5416666666665,132598.29166666666,182191.29166666666,15817.041666666666
2168.0,132218.47826086957,182859.47826086957,15822.0
2168.0,132215.0,182856.0,15822.0
2168.0,132215.0,182856.0,15822.0
2166.478260869565,132234.34782608695,183676.91304347827,15851.608695652174
2165.0833333333335,133920.29166666666,185713.91666666666,15893.958333333334
2170.1304347826085,138362.26086956522,186560.60869565216,15888.739130434782
2171.5,138228.75,187203.91666666666,15872.291666666666
2170.0,137525.69565217392,187897.1739130435,15892.0
2170.0,137519.0,187896.0,15892.0
2172.5454545454545,137197.4090909091,188103.22727272726,15896.545454545454
2176.0434782608695,137095.52173913043,189372.5652173913,15901.95652173913
2178.1666666666665,138483.625,191123.125,15900.375
2181.0,138875.45833333334,190991.91666666666,15935.458333333334
2177.4166666666665,140647.875,190580.29166666666,16064.25
2173.0,141169.5,190367.91666666666,16053.666666666666
2173.0,141162.0,190370.0,16054.0
2175.2083333333335,145138.45833333334,190324.91666666666,16057.25
2184.913043478261,157653.0,189988.47826086957,16043.04347826087
2188.875,158474.375,189313.58333333334,16004.708333333334
2185.875,149353.95833333334,189344.875,16048.583333333334
2190.4583333333335,151903.875,189267.125,16088.333333333334
2193.0,152098.20833333334,188951.375,16073.0
2193.0,152093.0,188934.0,16073.0
2192.0833333333335,152757.375,189278.91666666666,16102.125
2188.625,154976.29166666666,190597.58333333334,16177.125
2187.5833333333335,154943.58333333334,191474.95833333334,16354.958333333334
2185.7083333333335,153695.66666666666,192171.41666666666,16520.625
2184.125,150834.08333333334,193362.33333333334,16483.416666666668
2191.0,150573.375,195433.0,16494.708333333332
2191.0,150568.0,195412.0,16497.0
2191.0,150568.0,195412.0,16497.0
2195.0416666666665,150653.04347826086,196359.1739130435,16516.304347826088
2205.521739130435,150921.5652173913,199915.13043478262,16538.043478260868
2217.6666666666665,151024.25,201838.45833333334,16484.25
2227.75,151818.875,200873.91304347827,16486.043478260868
2232.0,152257.25,200624.41666666666,16496.0
2232.0,152251.0,200628.0,16497.0
2233.9166666666665,152220.5,200665.83333333334,16513.0
2237.8333333333335,152039.95833333334,201294.70833333334,16539.416666666668
2235.7083333333335,151055.20833333334,201210.29166666666,16525.041666666668
2237.5416666666665,150062.75,200729.29166666666,16491.375
2219.9166666666665,148065.75,197158.54166666666,16459.958333333332
2207.4583333333335,149926.875,197313.69565217392,16454.391304347828
2207.0,149914.0,197296.0,16455.0
2207.4285714285716,150058.42857142858,197323.35714285713,16455.14285714286
2218.0,154413.0909090909,199484.22727272726,16473.5
2220.0,157545.79166666666,201757.875,16490.791666666668
2230.3333333333335,158801.375,203015.66666666666,16489.666666666668
2238.5,159259.20833333334,203651.625,16525.583333333332
2246.0,160455.04166666666,203948.75,16533.166666666668
