U_ABB,U_TSLA,U_AMD,U_RIOT
3401.1666666666665,314639.25,229531.0,25412.708333333332
3414.75,320043.7083333333,229317.91666666666,25307.416666666668
3431.5,330605.2083333333,228744.16666666666,25223.333333333332
3438.0,340546.3333333333,228412.16666666666,25167.333333333332
3438.0,340541.0,228399.0,25169.0
3438.0,340541.0,228399.0,25169.0
3446.375,352422.6666666667,228283.54166666666,25177.541666666668
3457.1666666666665,380598.9583333333,227824.25,25181.583333333332
3455.9166666666665,393285.2083333333,227935.95833333334,25164.708333333332
3459.5,397286.4,226888.7,25204.5
3459.375,401202.25,226594.375,25210.0
3468.0,408519.875,226816.875,25187.708333333332
3468.0,408515.0,226784.0,25190.0
3480.75,425313.5416666667,226940.70833333334,25178.375
3493.25,465656.5,227465.0,25144.958333333332
3500.08,482978.57,228179.32323232322,25094.581632653062
3511.8805970149256,484092.0746268657,228356.6343283582,25076.97014925373
3528.3354430379745,483773.3164556962,228304.94267515923,25076.490445859872
3532.0,483504.2845528455,228076.28455284552,25053.788617886177
3532.0,483494.0,228070.0,25058.0
3533.0333333333333,483591.7833333333,228038.16806722688,25053.383333333335
3559.25,485868.5,227459.70833333334,24928.666666666668
3605.2916666666665,494887.3333333333,227495.79166666666,24809.166666666668
3625.0416666666665,511331.0833333333,227817.33333333334,24761.291666666668
3604.0,529146.1666666666,229838.625,24963.375
3596.0,533417.5416666666,232913.0,25237.958333333332
3596.0,533413.0,232880.0,25239.0
3600.125,534581.0,234091.25,25450.708333333332
3604.5416666666665,533181.0,236465.33333333334,26334.291666666668
3601.9583333333335,531001.4166666666,239255.75,26852.083333333332
3611.6666666666665,530754.2916666666,242985.41666666666,26689.041666666668
3609.5416666666665,531569.1666666666,244442.375,26508.916666666668
3600.0,537250.0,243896.20833333334,26495.291666666668
3600.0,537245.0,243866.0,26493.0
3601.1666666666665,538129.7083333334,244717.83333333334,27057.166666666668
3601.7083333333335,538575.625,248388.54166666666,28026.208333333332
3597.0416666666665,538723.625,254085.79166666666,28179.25
3592.0833333333335,536258.5416666666,257336.66666666666,29611.333333333332
3591.0416666666665,535743.5416666666,259311.16666666666,30497.083333333332
3591.0,540768.6666666666,259989.625,30341.208333333332
3591.0,540766.0,259985.0,30336.0
3586.7083333333335,541124.9166666666,259924.16666666666,30407.0
